Level	Date and Time	Source	Event ID	Task Category
Warning	26-11-2025 09:55:47	Win32k	700	None	Power Manager has requested suppression of all input (INPUT_SUPPRESS_REQUEST=1)
Information	26-11-2025 09:55:45	Netwtw14	7021	None	7021 - Connection telemetry fields and analysis usage
Information	26-11-2025 09:55:44	Netwtw14	7021	None	7021 - Connection telemetry fields and analysis usage
Information	26-11-2025 09:55:44	Netwtw14	7021	None	7021 - Connection telemetry fields and analysis usage
Information	26-11-2025 09:55:43	Netwtw14	7021	None	7021 - Connection telemetry fields and analysis usage
Information	26-11-2025 09:54:40	Netwtw14	7021	None	7021 - Connection telemetry fields and analysis usage
Information	26-11-2025 09:54:40	Netwtw14	7021	None	7021 - Connection telemetry fields and analysis usage
Information	26-11-2025 09:54:39	Netwtw14	7021	None	7021 - Connection telemetry fields and analysis usage
Information	26-11-2025 09:54:39	Netwtw14	7021	None	7021 - Connection telemetry fields and analysis usage
Information	26-11-2025 09:54:34	Netwtw14	7021	None	7021 - Connection telemetry fields and analysis usage
Information	26-11-2025 09:54:33	Netwtw14	7021	None	7021 - Connection telemetry fields and analysis usage
Information	26-11-2025 09:54:33	Netwtw14	7021	None	7021 - Connection telemetry fields and analysis usage
Information	26-11-2025 09:54:32	Netwtw14	7021	None	7021 - Connection telemetry fields and analysis usage
Information	26-11-2025 09:53:29	Netwtw14	7021	None	7021 - Connection telemetry fields and analysis usage
Information	26-11-2025 09:53:29	Netwtw14	7021	None	7021 - Connection telemetry fields and analysis usage
Information	26-11-2025 09:53:28	Netwtw14	7021	None	7021 - Connection telemetry fields and analysis usage
Information	26-11-2025 09:53:28	Netwtw14	7021	None	7021 - Connection telemetry fields and analysis usage
Information	26-11-2025 09:53:23	Netwtw14	7021	None	7021 - Connection telemetry fields and analysis usage
Information	26-11-2025 09:53:22	Netwtw14	7021	None	7021 - Connection telemetry fields and analysis usage
Information	26-11-2025 09:53:22	Netwtw14	7021	None	7021 - Connection telemetry fields and analysis usage
Information	26-11-2025 09:53:21	Netwtw14	7021	None	7021 - Connection telemetry fields and analysis usage
Information	26-11-2025 09:52:18	Netwtw14	7021	None	7021 - Connection telemetry fields and analysis usage
Information	26-11-2025 09:52:17	Netwtw14	7021	None	7021 - Connection telemetry fields and analysis usage
Information	26-11-2025 09:52:17	Netwtw14	7021	None	7021 - Connection telemetry fields and analysis usage
Information	26-11-2025 09:52:16	Netwtw14	7021	None	7021 - Connection telemetry fields and analysis usage
Information	26-11-2025 09:52:12	Netwtw14	7021	None	7021 - Connection telemetry fields and analysis usage
Information	26-11-2025 09:52:12	Netwtw14	7021	None	7021 - Connection telemetry fields and analysis usage
Information	26-11-2025 09:52:11	Netwtw14	7021	None	7021 - Connection telemetry fields and analysis usage
Information	26-11-2025 09:52:10	Netwtw14	7021	None	7021 - Connection telemetry fields and analysis usage
Information	26-11-2025 09:51:55	Netwtw14	7021	None	7021 - Connection telemetry fields and analysis usage
Information	26-11-2025 09:51:54	Netwtw14	7021	None	7021 - Connection telemetry fields and analysis usage
Information	26-11-2025 09:51:54	Netwtw14	7021	None	7021 - Connection telemetry fields and analysis usage
Information	26-11-2025 09:51:53	Netwtw14	7021	None	7021 - Connection telemetry fields and analysis usage
Information	26-11-2025 09:51:51	Netwtw14	7021	None	7021 - Connection telemetry fields and analysis usage
Information	26-11-2025 09:51:51	Netwtw14	7021	None	7021 - Connection telemetry fields and analysis usage
Information	26-11-2025 09:51:50	Netwtw14	7021	None	7021 - Connection telemetry fields and analysis usage
Information	26-11-2025 09:51:49	Netwtw14	7021	None	7021 - Connection telemetry fields and analysis usage
Information	26-11-2025 09:51:49	Netwtw14	7021	None	7021 - Connection telemetry fields and analysis usage
Information	26-11-2025 09:51:48	Netwtw14	7021	None	7021 - Connection telemetry fields and analysis usage
Information	26-11-2025 09:51:47	Netwtw14	7021	None	7021 - Connection telemetry fields and analysis usage
Information	26-11-2025 09:51:45	Netwtw14	7021	None	7021 - Connection telemetry fields and analysis usage
Information	26-11-2025 09:51:40	Netwtw14	7021	None	7021 - Connection telemetry fields and analysis usage
Information	26-11-2025 09:51:40	Netwtw14	7021	None	7021 - Connection telemetry fields and analysis usage
Information	26-11-2025 09:51:39	Netwtw14	7021	None	7021 - Connection telemetry fields and analysis usage
Information	26-11-2025 09:51:39	Netwtw14	7021	None	7021 - Connection telemetry fields and analysis usage
Information	26-11-2025 09:51:36	Netwtw14	7021	None	7021 - Connection telemetry fields and analysis usage
Information	26-11-2025 09:51:36	Netwtw14	7021	None	7021 - Connection telemetry fields and analysis usage
Information	26-11-2025 09:51:36	Netwtw14	7021	None	7021 - Connection telemetry fields and analysis usage
Information	26-11-2025 09:51:36	Netwtw14	7021	None	7021 - Connection telemetry fields and analysis usage
Information	26-11-2025 09:51:31	Netwtw14	7021	None	7021 - Connection telemetry fields and analysis usage
Information	26-11-2025 09:51:30	Netwtw14	7021	None	7021 - Connection telemetry fields and analysis usage
Information	26-11-2025 09:51:29	Netwtw14	7021	None	7021 - Connection telemetry fields and analysis usage
Information	26-11-2025 09:51:29	Netwtw14	7021	None	7021 - Connection telemetry fields and analysis usage
Information	26-11-2025 09:51:22	Netwtw14	7021	None	7021 - Connection telemetry fields and analysis usage
Information	26-11-2025 09:51:22	Netwtw14	7021	None	7021 - Connection telemetry fields and analysis usage
Information	26-11-2025 09:51:22	Netwtw14	7021	None	7021 - Connection telemetry fields and analysis usage
Information	26-11-2025 09:51:22	Netwtw14	7021	None	7021 - Connection telemetry fields and analysis usage
Information	26-11-2025 09:51:16	Netwtw14	7021	None	7021 - Connection telemetry fields and analysis usage
Information	26-11-2025 09:51:16	Netwtw14	7021	None	7021 - Connection telemetry fields and analysis usage
Information	26-11-2025 09:51:16	Netwtw14	7021	None	7021 - Connection telemetry fields and analysis usage
Information	26-11-2025 09:51:16	Netwtw14	7021	None	7021 - Connection telemetry fields and analysis usage
Information	26-11-2025 09:51:13	Netwtw14	7021	None	7021 - Connection telemetry fields and analysis usage
Information	26-11-2025 09:51:12	Netwtw14	7021	None	7021 - Connection telemetry fields and analysis usage
Information	26-11-2025 09:51:12	Netwtw14	7021	None	7021 - Connection telemetry fields and analysis usage
Information	26-11-2025 09:51:11	Netwtw14	7021	None	7021 - Connection telemetry fields and analysis usage
Information	26-11-2025 09:51:08	Netwtw14	7021	None	7021 - Connection telemetry fields and analysis usage
Information	26-11-2025 09:51:08	Netwtw14	7021	None	7021 - Connection telemetry fields and analysis usage
Information	26-11-2025 09:51:07	Netwtw14	7021	None	7021 - Connection telemetry fields and analysis usage
Information	26-11-2025 09:51:06	Netwtw14	7021	None	7021 - Connection telemetry fields and analysis usage
Information	26-11-2025 09:51:04	Netwtw14	7021	None	7021 - Connection telemetry fields and analysis usage
Information	26-11-2025 09:51:03	Netwtw14	7021	None	7021 - Connection telemetry fields and analysis usage
Information	26-11-2025 09:51:03	Netwtw14	7021	None	7021 - Connection telemetry fields and analysis usage
Information	26-11-2025 09:51:02	Netwtw14	7021	None	7021 - Connection telemetry fields and analysis usage
Information	26-11-2025 09:50:58	Netwtw14	7021	None	7021 - Connection telemetry fields and analysis usage
Information	26-11-2025 09:50:57	Netwtw14	7021	None	7021 - Connection telemetry fields and analysis usage
Information	26-11-2025 09:50:57	Netwtw14	7021	None	7021 - Connection telemetry fields and analysis usage
Information	26-11-2025 09:50:56	Netwtw14	7021	None	7021 - Connection telemetry fields and analysis usage
Information	26-11-2025 09:50:53	Netwtw14	7021	None	7021 - Connection telemetry fields and analysis usage
Information	26-11-2025 09:50:53	Netwtw14	7021	None	7021 - Connection telemetry fields and analysis usage
Information	26-11-2025 09:50:53	Netwtw14	7021	None	7021 - Connection telemetry fields and analysis usage
Information	26-11-2025 09:50:53	Netwtw14	7021	None	7021 - Connection telemetry fields and analysis usage
Information	26-11-2025 09:50:48	Netwtw14	7021	None	7021 - Connection telemetry fields and analysis usage
Information	26-11-2025 09:50:48	Netwtw14	7021	None	7021 - Connection telemetry fields and analysis usage
Information	26-11-2025 09:50:48	Netwtw14	7021	None	7021 - Connection telemetry fields and analysis usage
Information	26-11-2025 09:50:48	Netwtw14	7021	None	7021 - Connection telemetry fields and analysis usage
Warning	26-11-2025 09:50:46	Microsoft-Windows-DNS-Client	1014	(1014)	Name resolution for the name unleash.codeium.com timed out after none of the configured DNS servers responded. Client PID 13472.
Information	26-11-2025 09:50:45	Netwtw14	7021	None	7021 - Connection telemetry fields and analysis usage
Information	26-11-2025 09:50:45	Netwtw14	7021	None	7021 - Connection telemetry fields and analysis usage
Information	26-11-2025 09:50:45	Netwtw14	7021	None	7021 - Connection telemetry fields and analysis usage
Information	26-11-2025 09:50:45	Netwtw14	7021	None	7021 - Connection telemetry fields and analysis usage
Information	26-11-2025 09:50:43	Netwtw14	7021	None	7021 - Connection telemetry fields and analysis usage
Warning	26-11-2025 09:50:43	Microsoft-Windows-DNS-Client	1014	(1014)	Name resolution for the name polka.typekit.com timed out after none of the configured DNS servers responded. Client PID 24136.
Information	26-11-2025 09:50:42	Netwtw14	7021	None	7021 - Connection telemetry fields and analysis usage
Information	26-11-2025 09:50:42	Netwtw14	7021	None	7021 - Connection telemetry fields and analysis usage
Information	26-11-2025 09:50:42	Netwtw14	7021	None	7021 - Connection telemetry fields and analysis usage
Information	26-11-2025 09:50:29	Netwtw14	7021	None	7021 - Connection telemetry fields and analysis usage
Information	26-11-2025 09:50:29	Netwtw14	7021	None	7021 - Connection telemetry fields and analysis usage
Warning	26-11-2025 09:50:28	Microsoft-Windows-DNS-Client	1014	(1014)	Name resolution for the name cdn-ffc.oobesaas.adobe.com timed out after none of the configured DNS servers responded. Client PID 2328.
Warning	26-11-2025 09:50:27	Microsoft-Windows-DNS-Client	1014	(1014)	Name resolution for the name v10.events.data.microsoft.com timed out after none of the configured DNS servers responded. Client PID 5056.
Information	26-11-2025 09:50:22	Netwtw14	7021	None	7021 - Connection telemetry fields and analysis usage
Information	26-11-2025 09:50:22	Netwtw14	7021	None	7021 - Connection telemetry fields and analysis usage
Information	26-11-2025 09:50:22	Netwtw14	7021	None	7021 - Connection telemetry fields and analysis usage
Information	26-11-2025 09:50:22	Netwtw14	7021	None	7021 - Connection telemetry fields and analysis usage
Information	26-11-2025 09:50:22	Netwtw14	7021	None	7021 - Connection telemetry fields and analysis usage
Information	26-11-2025 09:50:22	Netwtw14	7021	None	7021 - Connection telemetry fields and analysis usage
Warning	26-11-2025 09:50:19	Microsoft-Windows-DNS-Client	1014	(1014)	Name resolution for the name http-intake.logs.datadoghq.com timed out after none of the configured DNS servers responded. Client PID 22692.
Warning	26-11-2025 09:50:17	Microsoft-Windows-DNS-Client	1014	(1014)	Name resolution for the name oauthaccountmanager.googleapis.com timed out after none of the configured DNS servers responded. Client PID 16168.
Warning	26-11-2025 09:50:15	Microsoft-Windows-DNS-Client	1014	(1014)	Name resolution for the name cdn-ffc.oobesaas.adobe.com timed out after none of the configured DNS servers responded. Client PID 2328.
Information	26-11-2025 09:50:15	Netwtw14	7021	None	7021 - Connection telemetry fields and analysis usage
Information	26-11-2025 09:50:15	Netwtw14	7021	None	7021 - Connection telemetry fields and analysis usage
Information	26-11-2025 09:50:15	Netwtw14	7021	None	7021 - Connection telemetry fields and analysis usage
Information	26-11-2025 09:50:15	Netwtw14	7021	None	7021 - Connection telemetry fields and analysis usage
Information	26-11-2025 09:50:15	Netwtw14	7021	None	7021 - Connection telemetry fields and analysis usage
Information	26-11-2025 09:50:15	Netwtw14	7021	None	7021 - Connection telemetry fields and analysis usage
Information	26-11-2025 09:50:15	Netwtw14	7021	None	7021 - Connection telemetry fields and analysis usage
Information	26-11-2025 09:50:14	Netwtw14	7021	None	7021 - Connection telemetry fields and analysis usage
Information	26-11-2025 09:50:14	Netwtw14	7021	None	7021 - Connection telemetry fields and analysis usage
Information	26-11-2025 09:50:14	Netwtw14	7021	None	7021 - Connection telemetry fields and analysis usage
Information	26-11-2025 09:50:14	Netwtw14	7021	None	7021 - Connection telemetry fields and analysis usage
Information	26-11-2025 09:50:14	Netwtw14	7021	None	7021 - Connection telemetry fields and analysis usage
Information	26-11-2025 09:50:14	Netwtw14	7021	None	7021 - Connection telemetry fields and analysis usage
Information	26-11-2025 09:50:14	Netwtw14	7021	None	7021 - Connection telemetry fields and analysis usage
Information	26-11-2025 09:50:14	Netwtw14	7021	None	7021 - Connection telemetry fields and analysis usage
Information	26-11-2025 09:50:06	Netwtw14	7021	None	7021 - Connection telemetry fields and analysis usage
Information	26-11-2025 09:50:06	Netwtw14	7021	None	7021 - Connection telemetry fields and analysis usage
Information	26-11-2025 09:50:06	Netwtw14	7021	None	7021 - Connection telemetry fields and analysis usage
Information	26-11-2025 09:50:05	Netwtw14	7021	None	7021 - Connection telemetry fields and analysis usage
Information	26-11-2025 09:50:05	Netwtw14	7021	None	7021 - Connection telemetry fields and analysis usage
Information	26-11-2025 09:50:05	Netwtw14	7021	None	7021 - Connection telemetry fields and analysis usage
Information	26-11-2025 09:50:05	Netwtw14	7021	None	7021 - Connection telemetry fields and analysis usage
Information	26-11-2025 09:50:05	Netwtw14	7021	None	7021 - Connection telemetry fields and analysis usage
Information	26-11-2025 09:50:05	Netwtw14	7021	None	7021 - Connection telemetry fields and analysis usage
Information	26-11-2025 09:50:05	Netwtw14	7021	None	7021 - Connection telemetry fields and analysis usage
Information	26-11-2025 09:50:05	Netwtw14	7021	None	7021 - Connection telemetry fields and analysis usage
Information	26-11-2025 09:50:05	Netwtw14	7021	None	7021 - Connection telemetry fields and analysis usage
Information	26-11-2025 09:50:05	Netwtw14	7021	None	7021 - Connection telemetry fields and analysis usage
Information	26-11-2025 09:50:05	Netwtw14	7021	None	7021 - Connection telemetry fields and analysis usage
Information	26-11-2025 09:50:05	Netwtw14	7021	None	7021 - Connection telemetry fields and analysis usage
Information	26-11-2025 09:50:05	Netwtw14	7021	None	7021 - Connection telemetry fields and analysis usage
Information	26-11-2025 09:50:05	Netwtw14	7021	None	7021 - Connection telemetry fields and analysis usage
Information	26-11-2025 09:50:05	Netwtw14	7021	None	7021 - Connection telemetry fields and analysis usage
Warning	26-11-2025 09:50:05	Microsoft-Windows-DNS-Client	1014	(1014)	Name resolution for the name www.baidu.com timed out after none of the configured DNS servers responded. Client PID 11688.
Information	26-11-2025 09:50:05	Netwtw14	7021	None	7021 - Connection telemetry fields and analysis usage
Information	26-11-2025 09:50:05	Netwtw14	7021	None	7021 - Connection telemetry fields and analysis usage
Information	26-11-2025 09:50:05	Netwtw14	7021	None	7021 - Connection telemetry fields and analysis usage
Information	26-11-2025 09:50:05	Netwtw14	7021	None	7021 - Connection telemetry fields and analysis usage
Information	26-11-2025 09:50:05	Netwtw14	7021	None	7021 - Connection telemetry fields and analysis usage
Information	26-11-2025 09:50:05	Netwtw14	7021	None	7021 - Connection telemetry fields and analysis usage
Information	26-11-2025 09:50:05	Netwtw14	7021	None	7021 - Connection telemetry fields and analysis usage
Information	26-11-2025 09:50:05	Netwtw14	7021	None	7021 - Connection telemetry fields and analysis usage
Information	26-11-2025 09:50:05	Netwtw14	7021	None	7021 - Connection telemetry fields and analysis usage
Information	26-11-2025 09:50:05	Netwtw14	7021	None	7021 - Connection telemetry fields and analysis usage
Information	26-11-2025 09:50:05	Netwtw14	7021	None	7021 - Connection telemetry fields and analysis usage
Information	26-11-2025 09:50:05	Netwtw14	7021	None	7021 - Connection telemetry fields and analysis usage
Information	26-11-2025 09:50:05	Netwtw14	7021	None	7021 - Connection telemetry fields and analysis usage
Information	26-11-2025 09:50:05	Netwtw14	7021	None	7021 - Connection telemetry fields and analysis usage
Information	26-11-2025 09:50:05	Netwtw14	7021	None	7021 - Connection telemetry fields and analysis usage
Information	26-11-2025 09:50:05	Netwtw14	7021	None	7021 - Connection telemetry fields and analysis usage
Information	26-11-2025 09:50:05	Netwtw14	7021	None	7021 - Connection telemetry fields and analysis usage
Information	26-11-2025 09:50:05	Netwtw14	7021	None	7021 - Connection telemetry fields and analysis usage
Information	26-11-2025 09:50:05	Netwtw14	7021	None	7021 - Connection telemetry fields and analysis usage
Information	26-11-2025 09:50:04	Netwtw14	7021	None	7021 - Connection telemetry fields and analysis usage
Information	26-11-2025 09:50:04	Netwtw14	7021	None	7021 - Connection telemetry fields and analysis usage
Information	26-11-2025 09:50:04	Netwtw14	7021	None	7021 - Connection telemetry fields and analysis usage
Information	26-11-2025 09:50:04	Netwtw14	7021	None	7021 - Connection telemetry fields and analysis usage
Information	26-11-2025 09:50:04	Netwtw14	7021	None	7021 - Connection telemetry fields and analysis usage
Information	26-11-2025 09:50:04	Netwtw14	7021	None	7021 - Connection telemetry fields and analysis usage
Information	26-11-2025 09:50:04	Netwtw14	7021	None	7021 - Connection telemetry fields and analysis usage
Information	26-11-2025 09:50:04	Netwtw14	7021	None	7021 - Connection telemetry fields and analysis usage
Information	26-11-2025 09:50:04	Netwtw14	7021	None	7021 - Connection telemetry fields and analysis usage
Information	26-11-2025 09:50:04	Netwtw14	7021	None	7021 - Connection telemetry fields and analysis usage
Information	26-11-2025 09:50:04	Netwtw14	7021	None	7021 - Connection telemetry fields and analysis usage
Information	26-11-2025 09:50:04	Netwtw14	7021	None	7021 - Connection telemetry fields and analysis usage
Information	26-11-2025 09:50:04	Netwtw14	7021	None	7021 - Connection telemetry fields and analysis usage
Information	26-11-2025 09:50:04	Netwtw14	7021	None	7021 - Connection telemetry fields and analysis usage
Information	26-11-2025 09:50:04	Netwtw14	7021	None	7021 - Connection telemetry fields and analysis usage
Information	26-11-2025 09:50:04	Netwtw14	7021	None	7021 - Connection telemetry fields and analysis usage
Information	26-11-2025 09:50:04	Netwtw14	7021	None	7021 - Connection telemetry fields and analysis usage
Information	26-11-2025 09:50:04	Netwtw14	7021	None	7021 - Connection telemetry fields and analysis usage
Information	26-11-2025 09:50:04	Netwtw14	7021	None	7021 - Connection telemetry fields and analysis usage
Information	26-11-2025 09:50:04	Netwtw14	7021	None	7021 - Connection telemetry fields and analysis usage
Information	26-11-2025 09:50:04	Netwtw14	7021	None	7021 - Connection telemetry fields and analysis usage
Information	26-11-2025 09:50:04	Netwtw14	7021	None	7021 - Connection telemetry fields and analysis usage
